# FF7 German Strings by touphScript Index
# Generated: 2026-01-03 13:22:02 JST
# Session: 8bc98f0a-abab-49e6-acdd-56dd38e9d149
# Source: /mnt/d/Games/Stand-alone/FINAL FANTASY VII/ff7_de.exe
# Base Delta: 0x77840
# Total strings: 758
#
# Format: [INDEX] [DE_OFFSET] [LENGTH] [TYPE] | DECODED_DE_TEXT | RAW_HEX_BYTES
# ====================================================================================================

[388] 0x00596F50  20 DEF        |            [92][01]      | 00 00 00 00 00 00 78 00 00 00 00 00 92 01 78 00 00 00 00 00
[389] 0x00596F64  20 DEF        |         \     [C9]   | 6E 00 78 00 00 00 00 00 00 00 3C 00 00 00 00 00 C9 00 78 00
[390] 0x00596F78  20 DEF        |     W \ Waf[0E] | 00 00 00 00 37 00 3C 00 37 41 46 0E FF 00 00 00 00 00 00 00
[391] 0x00596F8C  20 DEF        |           Rüs[0E] | 00 00 00 00 00 00 00 00 00 00 32 7F 53 0E FF 00 00 00 00 00
[392] 0x00596FA0  20 DEF        |             Acc[0E] | 00 00 00 00 00 00 00 00 00 00 00 00 21 43 43 0E FF 00 00 00
[393] 0x00596FB4  20 DEF        |               Zub[0E] | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 55 42 0E FF 00
[394] 0x00596FC8  20 DEF        |                 Stär | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 54 6A 52
[395] 0x00596FDC  20 DEF        | ke | 4B 45 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45
[396] 0x00596FF0  20 DEF        | schick | 53 43 48 49 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00
[397] 0x00597004  20 DEF        | Vitalitä | 36 49 54 41 4C 49 54 6A FF 00 00 00 00 00 00 00 00 00 00 00
[398] 0x00597018  20 DEF        |   Zauber | 00 00 3A 41 55 42 45 52 FF 00 00 00 00 00 00 00 00 00 00 00
[399] 0x0059702C  20 DEF        |     Moral | 00 00 00 00 2D 4F 52 41 4C FF 00 00 00 00 00 00 00 00 00 00
[400] 0x00597040  20 DEF        |       Glück | 00 00 00 00 00 00 27 4C 7F 43 4B FF 00 00 00 00 00 00 00 00
[401] 0x00597054  20 DEF        |         Angriff | 00 00 00 00 00 00 00 00 21 4E 47 52 49 46 46 FF 00 00 00 00
[402] 0x00597068  20 DEF        |           Angriff [05] | 00 00 00 00 00 00 00 00 00 00 21 4E 47 52 49 46 46 00 05 FF
[403] 0x0059707C  20 DEF        |             Verteidi | 00 00 00 00 00 00 00 00 00 00 00 00 36 45 52 54 45 49 44 49
[404] 0x00597090  20 DEF        | gung | 47 55 4E 47 FF 00 00 00 00 00 00 00 00 00 36 45 52 54 45 49
[405] 0x005970A4  20 DEF        | digung [05] | 44 49 47 55 4E 47 00 05 FF 00 00 00 00 00 00 00 3A 41 55 42
[406] 0x005970B8  20 DEF        | er | 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 3A 41
[407] 0x005970CC  20 DEF        | uberabwehr | 55 42 45 52 41 42 57 45 48 52 FF 00 00 00 00 00 00 00 00 00
[408] 0x005970E0  20 DEF        | Zauberabw[0E] [05] | 3A 41 55 42 45 52 41 42 57 0E 00 05 FF 00 00 00 00 00 00 00
[409] 0x00597228  20 DEF        | Wasser | 37 41 53 53 45 52 FF 00 00 00 00 00 37 49 4E 44 FF 00 00 00
[410] 0x0059723C  20 DEF        |     Heilig | 00 00 00 00 28 45 49 4C 49 47 FF 00 00 00 00 00 00 00 00 00
[411] 0x00597250  20 DEF        | Soll das wirklich en | 33 4F 4C 4C 00 44 41 53 00 57 49 52 4B 4C 49 43 48 00 45 4E
[412] 0x00597264  20 DEF        | tfernt werden[1F] | 54 46 45 52 4E 54 00 57 45 52 44 45 4E 1F FF 00 2A 41 01 FF
[413] 0x00597278  20 DEF        |                      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[414] 0x0059728C  20 DEF        |             Einen Mo | 00 00 00 00 00 00 00 00 00 00 00 00 25 49 4E 45 4E 00 2D 4F
[415] 0x005972A0  20 DEF        | ment | 4D 45 4E 54 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[416] 0x005972B4  20 DEF        |         Sephiroth[B2][A9][A9] | 00 00 00 00 00 00 00 00 33 45 50 48 49 52 4F 54 48 B2 A9 A9
[417] 0x005972DC  20 DEF        |     Waf[0E] | 00 00 00 00 37 41 46 0E FF 00 00 00 00 00 00 00 00 00 00 00
[418] 0x005972F0  20 DEF        |             Rüs[0E] | 00 00 00 00 00 00 00 00 00 00 00 00 32 7F 53 0E FF 00 00 00
[419] 0x00597304  20 DEF        |                      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[420] 0x00597318  20 DEF        | Fähigkeitsliste | 26 6A 48 49 47 4B 45 49 54 53 4C 49 53 54 45 FF 00 00 00 00
[421] 0x0059732C  20 DEF        |         Rüstungseffe | 00 00 00 00 00 00 00 00 32 7F 53 54 55 4E 47 53 45 46 46 45
[422] 0x005973A8  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[423] 0x005973B4  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[424] 0x005973C0  12 DEF        | Auf nächste  | 21 55 46 00 4E 6A 43 48 53 54 45 00
[425] 0x005973CC  12 DEF        | Ebene | 25 42 45 4E 45 FF 00 00 00 00 00 00
[426] 0x005973D8  12 DEF        |     MASTER | 00 00 00 00 2D 21 33 34 25 32 FF 00
[427] 0x005973E4  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[428] 0x005973F0  12 DEF        |         Ordn | 00 00 00 00 00 00 00 00 2F 52 44 4E
[429] 0x005973FC  12 DEF        | en | 45 4E FF 00 00 00 00 00 00 00 00 00
[430] 0x00597408  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[431] 0x00597414  12 DEF        | Tauschen | 34 41 55 53 43 48 45 4E FF 00 00 00
[432] 0x00597420  12 DEF        |              | 00 00 00 00 00 00 00 00 00 00 00 00
[433] 0x00597430  34 DEF        | Alles entfernen | 21 4C 4C 45 53 00 45 4E 54 46 45 52 4E 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 37 45 47 57 45 52
[434] 0x00597452  34 DEF        | fen | 46 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 FF 00 00 00 00 00 00 00 00 00 00 00
[435] 0x00597474  34 DEF        |                 Geschwindigkeit    | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45 53 43 48 57 49 4E 44 49 47 4B 45 49 54 00 00 00
[436] 0x00597496  34 DEF        | [05]HHER | 05 28 65 28 25 32 FF 00 00 00 33 43 48 55 54 5A 00 00 00 05 28 65 28 25 32 FF 00 00 00 00 00 00 00 00
[437] 0x005974B8  34 DEF        |     Zauberkraft   [05]HHER | 00 00 00 00 3A 41 55 42 45 52 4B 52 41 46 54 00 00 00 05 28 65 28 25 32 FF 00 00 00 00 00 00 00 27 4C
[438] 0x005974DA  34 DEF        | ück   [05]HHER | 7F 43 4B 00 00 00 05 28 65 28 25 32 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 2D 21 33 34 25 32 FF 00
[439] 0x005974FC  34 DEF        |                     Stärke | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 33 54 6A 52 4B 45 FF 00 00 00 00 00 00 00
[440] 0x0059751E  34 DEF        |               Vitalität | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 36 49 54 41 4C 49 54 6A 54 FF 00 00 00 00 00 00 00 00 00 00
[441] 0x00597540  34 DEF        |         Zauber | 00 00 00 00 00 00 00 00 3A 41 55 42 45 52 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[442] 0x00597562  34 DEF        |   Zbrvertdg | 00 00 3A 42 52 56 45 52 54 44 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45 53 43
[443] 0x00597584  34 DEF        | hick | 48 49 43 4B FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 4C 7F 43 4B FF 00 00 00 00
[444] 0x005975A6  34 DEF        |                   MAXHP | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 2D 21 38 28 30 FF 00 00 00 00 00 00 00 00 00 00
[445] 0x005975C8  34 DEF        |             MAXMP | 00 00 00 00 00 00 00 00 00 00 00 00 2D 21 38 2D 30 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[446] 0x005975EA  34 DEF        |       MAXHP | 00 00 00 00 00 00 2D 21 38 28 30 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[447] 0x0059760C  34 DEF        | MAXMP | 2D 21 38 2D 30 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 38 30 0E 35 30
[448] 0x0059762E  34 DEF        |  | FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 27 49 4C 00 35 30 FF 00 00 00 00 00
[449] 0x00597650  34 DEF        |                 Treffen [0D] [05] | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 34 52 45 46 46 45 4E 00 0D 00 05 FF 00 00 00 00 00 00
[450] 0x00597672  34 DEF        |           Treffen [0B] [05] | 00 00 00 00 00 00 00 00 00 00 34 52 45 46 46 45 4E 00 0B 00 05 FF 00 00 00 00 00 00 00 00 00 00 00 00
[451] 0x00597694  34 DEF        |     Chocobo treffen | 00 00 00 00 23 48 4F 43 4F 42 4F 00 54 52 45 46 46 45 4E FF 00 00 00 00 00 00 00 00 00 00 00 00 30 52
[452] 0x005976B6  34 DEF        | äventivm[0E] [0B] [05] | 6A 56 45 4E 54 49 56 4D 0E 00 0B 00 05 FF 00 00 00 00 00 00 00 00 00 00 00 00 26 45 52 4E 41 4E 47 52
[453] 0x005976D8  34 DEF        | iff | 49 46 46 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 21 4C 4C 45 00 41 4E 47 52 45 49 46 45 4E
[454] 0x005976FA  34 DEF        |  | FF 00 00 00 00 00 00 00 00 00 00 00 00 00 27 45 47 45 4E 41 4E 47 52 49 46 46 FF 00 00 00 00 00 00 00
[455] 0x0059771C  34 DEF        |         Alle angreifen | 00 00 00 00 00 00 00 00 21 4C 4C 45 00 41 4E 47 52 45 49 46 45 4E FF 00 00 00 00 00 00 00 00 00 00 00
[456] 0x0059773E  34 DEF        |   Ständiger Angriff | 00 00 33 54 6A 4E 44 49 47 45 52 00 21 4E 47 52 49 46 46 FF 00 00 00 00 00 00 00 00 00 00 28 30 0F 2D
[457] 0x00597760  34 DEF        | P[0D]nderung | 30 0D 60 4E 44 45 52 55 4E 47 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 80 02 92 00 00 00
[458] 0x00597EF8  12 DEF        | [09] V [1B] [1D] [ \  | 09 00 36 00 1B 00 1D 00 3B 00 3C 00
[459] 0x00597F04  12 DEF        | [03][01][8A] [F1] [0C][01]j [0B][01] | 03 01 8A 00 F1 00 0C 01 4A 00 0B 01
[460] 0x00597F10  12 DEF        | [87] [9C] [E5]  [11][01]M  | 87 00 9C 00 E5 00 5F 00 11 01 2D 00
[461] 0x00597F1C  12 DEF        | [0F] [D6] [10] [9B] [C9] [03]  | 0F 00 D6 00 10 00 9B 00 C9 00 03 00
[462] 0x00597F28  12 DEF        | w [FA]  | 57 00 FA 00 FF 00 18 00 2E 00 6F 00
[463] 0x00597F34  12 DEF        | [F9] [C2] [98] E [AE] [FC]  | F9 00 C2 00 98 00 25 00 AE 00 FC 00
[464] 0x00597F40  12 UNICODE    | wZĥvĕĠ | 77 00 5A 00 25 01 76 00 15 01 20 01
[465] 0x00597F4C  12 UNICODE    | INQĦl· | 49 00 4E 00 51 00 26 01 6C 00 B7 00
[466] 0x00597F58  12 UNICODE    | ºË² | BA 00 84 00 CB 00 89 00 B2 00 14 00
[467] 0x00597F64  12 UNICODE    | Ĉ©m:Xu | 08 01 A9 00 6D 00 3A 00 58 00 75 00
[468] 0x00597F88   8 UNICODE    | ÅĩĪī | C5 00 29 01 2A 01 2B 01
[469] 0x00597F90   8 UNICODE    | ĬĭĮį | 2C 01 2D 01 2E 01 2F 01
[470] 0x00597F98   8 UNICODE    | İıĲĳ | 30 01 31 01 32 01 33 01
[471] 0x00597FA0   8 UNICODE    | ĴĵĶķ | 34 01 35 01 36 01 37 01
[472] 0x00597FA8   8 UNICODE    | ĸĹĺĻ | 38 01 39 01 3A 01 3B 01
[473] 0x00597FB0   1 UNICODE    | [UNICODE:3c] | 3C
[474] 0x00597FB1   1 UNICODE    | [UNICODE:01] | 01
[475] 0x00597FB2   1 UNICODE    | [UNICODE:3d] | 3D
[476] 0x00597FB3   1 UNICODE    | [UNICODE:01] | 01
[477] 0x00597FB4   1 UNICODE    | [UNICODE:3e] | 3E
[478] 0x00597FB5   1 UNICODE    | [UNICODE:01] | 01
[479] 0x00597FB6   1 UNICODE    | [UNICODE:3f] | 3F
[480] 0x00597FB7   1 UNICODE    | [UNICODE:01] | 01
[481] 0x00597FB8   1 UNICODE    | [UNICODE:95] | 95
[482] 0x00597FB9   1 UNICODE    | [UNICODE:00] | 00
[483] 0x00597FBA   1 UNICODE    | [UNICODE:a4] | A4
[484] 0x00597FBB   1 UNICODE    | [UNICODE:00] | 00
[485] 0x00597FBC   1 UNICODE    | [UNICODE:5d] | 5D
[486] 0x00597FBD   1 UNICODE    | [UNICODE:00] | 00
[487] 0x00597FBE   1 UNICODE    | [UNICODE:d2] | D2
[488] 0x00597FBF   1 UNICODE    | [UNICODE:00] | 00
[489] 0x00597FC0   1 UNICODE    | [UNICODE:f7] | F7
[490] 0x00597FC1   1 UNICODE    | [UNICODE:00] | 00
[491] 0x00597FC2   1 UNICODE    | [UNICODE:ab] | AB
[492] 0x00597FC3   1 UNICODE    | [UNICODE:00] | 00
[493] 0x00597FC4   1 UNICODE    | [UNICODE:7f] | 7F
[494] 0x00597FC5   1 UNICODE    | [UNICODE:00] | 00
[495] 0x00597FC6   1 UNICODE    | [UNICODE:f8] | F8
[496] 0x00597FC7   1 UNICODE    | [UNICODE:00] | 00
[497] 0x00597FC8   1 UNICODE    | [UNICODE:c8] | C8
[498] 0x00597FC9   1 UNICODE    | [UNICODE:00] | 00
[499] 0x00597FCA   1 UNICODE    | [UNICODE:9f] | 9F
[500] 0x00597FCB   1 UNICODE    | [UNICODE:00] | 00
[501] 0x00597FCC   1 UNICODE    | [UNICODE:a7] | A7
[502] 0x00597FCD   1 UNICODE    | [UNICODE:00] | 00
[503] 0x00597FCE   1 UNICODE    | [UNICODE:1f] | 1F
[504] 0x00597FCF   1 UNICODE    | [UNICODE:01] | 01
[505] 0x00597FD0   1 UNICODE    | [UNICODE:0a] | 0A
[506] 0x00597FD1   1 UNICODE    | [UNICODE:00] | 00
[507] 0x00597FD2   1 UNICODE    | [UNICODE:64] | 64
[508] 0x00597FD3   1 UNICODE    | [UNICODE:00] | 00
[509] 0x00597FD4   1 UNICODE    | [UNICODE:bf] | BF
[510] 0x00597FD5   1 UNICODE    | [UNICODE:00] | 00
[511] 0x00597FD6   1 UNICODE    | [UNICODE:0a] | 0A
[512] 0x00597FD7   1 UNICODE    | [UNICODE:01] | 01
[513] 0x00597FD8   1 UNICODE    | [UNICODE:86] | 86
[514] 0x00597FD9   1 UNICODE    | [UNICODE:00] | 00
[515] 0x00597FDA   1 UNICODE    | [UNICODE:96] | 96
[516] 0x00597FDB   1 UNICODE    | [UNICODE:00] | 00
[517] 0x00597FDC   1 UNICODE    | [UNICODE:a3] | A3
[518] 0x00597FDD   1 UNICODE    | [UNICODE:00] | 00
[519] 0x00597FDE   1 UNICODE    | [UNICODE:91] | 91
[520] 0x00597FDF   1 UNICODE    | [UNICODE:00] | 00
[521] 0x00597FE0   1 UNICODE    | [UNICODE:fe] | FE
[522] 0x00597FE1   1 UNICODE    | [UNICODE:00] | 00
[523] 0x00597FE2   1 UNICODE    | [UNICODE:27] | 27
[524] 0x00597FE3   1 UNICODE    | [UNICODE:00] | 00
[525] 0x00597FE4   1 UNICODE    | [UNICODE:2c] | 2C
[526] 0x00597FE5   1 UNICODE    | [UNICODE:00] | 00
[527] 0x00597FE6   1 UNICODE    | [UNICODE:7b] | 7B
[528] 0x00597FE7   1 UNICODE    | [UNICODE:00] | 00
[529] 0x00597FE8   1 UNICODE    | [UNICODE:9e] | 9E
[530] 0x00597FE9   1 UNICODE    | [UNICODE:00] | 00
[531] 0x00597FEC   1 UNICODE    | [UNICODE:69] | 69
[532] 0x00597FED   1 DEF        |   | 00
[533] 0x00597FEE   1 DEF        | [0B] | 0B
[534] 0x00597FEF   1 DEF        |   | 00
[535] 0x00597FF0   1 DEF        | [B9] | B9
[536] 0x00597FF1   1 DEF        |   | 00
[537] 0x00597FF2   1 DEF        | [8F] | 8F
[538] 0x00597FF3   1 DEF        |   | 00
[539] 0x00597FF4   1 DEF        | u | 55
[540] 0x00597FF5   1 DEF        |   | 00
[541] 0x00598C18  20 DEF        |     [07][01][09][0A][0B][0B][05][0E]      [01]W | 00 00 00 00 07 01 09 0A 0B 0B 05 0E 00 00 00 00 00 00 01 37
[542] 0x00598C2C  20 DEF        | Vincent | 36 49 4E 43 45 4E 54 FF FF FF FF FF 72 05 FF 00 FF 00 01 00
[543] 0x00598C7C  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[544] 0x00598C90  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF 00 00 00 00 08 01 0C 0C
[545] 0x00598CA4  20 DEF        | [0B][0A][06][0E]      [01]_Cid | 0B 0A 06 0E 00 00 00 00 00 00 01 3F 23 49 44 FF FF FF FF FF
[546] 0x00598D1C  20 DEF        |  | FF FF FF FF 00 00 00 00 09 01 0C 0C 0B 0A 06 05 00 00 00 00
[547] 0x00598D30  20 DEF        |   [01]  | 00 00 01 00 FF FF FF FF FF FF FF FF FF FF FF FF 00 01 00 00
[548] 0x00598D44  20 DEF        | [FE][07][01]         [8C] [8C] [04] [04]  | FE 07 01 00 00 00 00 00 00 00 00 00 8C 00 8C 00 04 00 04 00
[549] 0x00598D58  20 DEF        |      | 00 00 00 00 FF FF FF FF 0C 00 00 00 0A 00 00 00 FF FF FF FF
[550] 0x00598D6C  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[551] 0x00598D80  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[552] 0x00598D94  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 74 00 00 00
[553] 0x00598DA8  20 DEF        | [0A]RuhdfaN      [01] Seph | 0A 32 55 48 44 46 41 2E 00 00 00 00 00 00 01 00 33 45 50 48
[554] 0x00598DBC  20 DEF        | iroth | 49 52 4F 54 48 FF FF FF 7F 06 08 00 FF 00 01 00 00 00 00 00
[555] 0x00598DD0  20 DEF        |      [0F] [0F][CC][01][CC][01]     | 00 00 00 00 00 0F 00 0F CC 01 CC 01 00 00 00 00 FF FF FF FF
[556] 0x00598DE4  20 DEF        | [B6][E3][04] W | B6 E3 04 00 37 FF FF FF 35 FF FF FF 33 FF FF FF 17 FF FF FF
[557] 0x00598DF8  20 DEF        | Q | 31 FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF 32 FF FF FF
[558] 0x00598E0C  20 DEF        | [17] | 17 FF FF FF 34 FF FF FF 17 FF FF FF FF FF FF FF FF FF FF FF
[559] 0x00598E20  20 DEF        |  | FF FF FF FF FF FF FF FF AA E8 00 00 FF FF FF FF FF FF FF FF
[560] 0x00598E34  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[561] 0x00598E48  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[562] 0x00598E5C  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[563] 0x00598E70  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[564] 0x00598E84  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[565] 0x00598E98  20 DEF        |  | FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF FF
[566] 0x00598EAC  20 DEF        |  | FF FF FF FF FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[567] 0x00598EC0  20 DEF        |                 [01]    | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00
[568] 0x00598ED4  20 DEF        | [06]   [01]   [02]   [06]   [01]    | 06 00 00 00 01 00 00 00 02 00 00 00 06 00 00 00 01 00 00 00
[569] 0x00598EE8  20 DEF        | [03]   [06]   [01]   [04]   [06]    | 03 00 00 00 06 00 00 00 01 00 00 00 04 00 00 00 06 00 00 00
[570] 0x00598F38   2 DEF        | [01]  | 01 00
[571] 0x00598F3A   2 DEF        |    | 00 00
[572] 0x00598F40  20 DEF        | [06]   [01]   [0A]   [06]   [01]    | 06 00 00 00 01 00 00 00 0A 00 00 00 06 00 00 00 01 00 00 00
[573] 0x00598F54  20 DEF        |                      | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[574] 0x00598F68  20 DEF        | [01]               [06]    | 01 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 06 00 00 00
[575] 0x00598F7C  20 DEF        | [04]   [03]   [02]   [05]   [03]    | 04 00 00 00 03 00 00 00 02 00 00 00 05 00 00 00 03 00 00 00
[576] 0x00598F90  20 DEF        | [04]   [03]   [03]   [07]   [04]    | 04 00 00 00 03 00 00 00 03 00 00 00 07 00 00 00 04 00 00 00
[577] 0x00598FA4  20 DEF        | [03]   [09]   [04]   [03]   [05]    | 03 00 00 00 09 00 00 00 04 00 00 00 03 00 00 00 05 00 00 00
[578] 0x00598FB8  20 DEF        | [05]   [03]       [05]   [03]    | 05 00 00 00 03 00 00 00 00 00 00 00 05 00 00 00 03 00 00 00
[579] 0x00598FCC  20 DEF        | [08]   [03]   [03]   [04]   [04]    | 08 00 00 00 03 00 00 00 03 00 00 00 04 00 00 00 04 00 00 00
[580] 0x00598FE0  20 DEF        | [03]   [05]   [04]   [03]   [0A]    | 03 00 00 00 05 00 00 00 04 00 00 00 03 00 00 00 0A 00 00 00
[581] 0x00598FF4  20 DEF        | [05]   [03]   [08]   [02]   [01]    | 05 00 00 00 03 00 00 00 08 00 00 00 02 00 00 00 01 00 00 00
[582] 0x005991AA  22 DEF        |   \   ]   ^   `   a    | 00 00 3C 00 00 00 3D 00 00 00 3E 00 00 00 40 00 00 00 41 00 00 00
[583] 0x005991C0  22 DEF        | d   e   f   g   h      | 44 00 00 00 45 00 00 00 46 00 00 00 47 00 00 00 48 00 00 00 00 00
[584] 0x005991D6  22 DEF        |   j   k   l   m   n    | 00 00 4A 00 00 00 4B 00 00 00 4C 00 00 00 4D 00 00 00 4E 00 00 00
[585] 0x005991EC  22 DEF        | o   p   q   r   s   t  | 4F 00 00 00 50 00 00 00 51 00 00 00 52 00 00 00 53 00 00 00 54 00
[586] 0x0059921C  20 DEF        | E   G   H   I   J    | 25 00 00 00 27 00 00 00 28 00 00 00 29 00 00 00 2A 00 00 00
[587] 0x00599230  20 DEF        | K       q   u   Full | 2B 00 00 00 00 00 00 00 51 00 00 00 55 00 00 00 26 55 4C 4C
[588] 0x00599244  20 DEF        |  Equipent[01] | 00 25 51 55 49 50 45 4E 54 01 FF 00 00 00 00 00 2D 41 47 49
[589] 0x00599258  20 DEF        | c Materia[01] | 43 00 2D 41 54 45 52 49 41 01 FF 00 00 00 00 00 33 55 4D 4D
[590] 0x0059926C  20 DEF        | on Materia[01] | 4F 4E 00 2D 41 54 45 52 49 41 01 FF 00 00 00 00 23 4F 4D 4D
[591] 0x00599280  20 DEF        | and | 41 4E 44 FF 00 00 00 00 00 00 00 00 00 00 00 00 3A 45 52 4F
[592] 0x00599294  20 DEF        |  [0D] AW YEAH[01] | 00 0D 00 21 37 00 39 25 21 28 01 FF 00 00 00 00 00 00 00 00
[593] 0x005992A8  20 DEF        | Feuer | 26 45 55 45 52 FF 00 00 00 00 00 00 2B 6A 4C 54 45 FF 00 00
[594] 0x005992C0  46 DEF        | Blitz | 22 4C 49 54 5A FF 00 00 00 00 00 00 25 52 44 45 FF 00 00 00 00 00 00 00 27 49 46 54 FF 00 00 00 00 00 00 00 33 43 48 57 45 52 4B 52 41 46
[595] 0x005992EE  46 DEF        | t | 54 FF 37 41 53 53 45 52 FF 00 00 00 00 00 37 49 4E 44 FF 00 00 00 00 00 00 00 28 45 49 4C 49 47 FF 00 00 00 00 00 00 00 00 00 33 4F 4C 4C
[596] 0x0059931C  46 DEF        |  das wirklich entfernt werden[1F] | 00 44 41 53 00 57 49 52 4B 4C 49 43 48 00 45 4E 54 46 45 52 4E 54 00 57 45 52 44 45 4E 1F FF 00 2A 41 01 FF 00 00 00 00 00 00 00 00 00 00
[597] 0x0059934A  46 DEF        |                       Einen Moment | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 25 49 4E 45 4E 00 2D 4F 4D 45 4E 54 FF 00 00 00 00 00 00 00 00 00 00 00
[598] 0x00599378  46 DEF        |             Sephiroth[B2][A9][A9][B3] | 00 00 00 00 00 00 00 00 00 00 00 00 33 45 50 48 49 52 4F 54 48 B2 A9 A9 B3 FF 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[599] 0x0059B9A0  36 DEF        |                     [02] [05]              | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00
[600] 0x0059B9C4  36 DEF        | [01]       [07]       [03]       f            | 01 00 00 00 00 00 00 00 07 00 00 00 00 00 00 00 03 00 00 00 00 00 00 00 46 00 00 00 00 00 00 00 00 00 00 00
[601] 0x0059B9E8  36 DEF        |                                 [02] [05]  | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 05 00
[602] 0x0059BA78  36 DEF        |     [03]       f                        | 00 00 00 00 03 00 00 00 00 00 00 00 46 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00
[603] 0x0059BA9C  36 DEF        |                     [02] [05]              | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 05 00 00 00 00 00 00 00 00 00 00 00 00 00
[604] 0x0059BAC0  36 DEF        | [01]       [07]       [03]       f            | 01 00 00 00 00 00 00 00 07 00 00 00 00 00 00 00 03 00 00 00 00 00 00 00 46 00 00 00 00 00 00 00 00 00 00 00
[605] 0x0059BAE4  36 DEF        |                                 [02] [05]  | 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 00 02 00 05 00
[606] 0x0059BB08  36 DEF        |             [01]       [07]       [03]        | 00 00 00 00 00 00 00 00 00 00 00 00 01 00 00 00 00 00 00 00 07 00 00 00 00 00 00 00 03 00 00 00 00 00 00 00
[607] 0x0059BB50  36 DEF        |         R   L[01]  [02]   [DC][05]  [02]   [02]   [02]    | 00 00 00 00 00 00 00 00 32 00 00 00 2C 01 00 00 02 00 00 00 DC 05 00 00 02 00 00 00 02 00 00 00 02 00 00 00
